s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0000510,14, 1544173920
radix,1,0.0000510,45, 1544173920
quick,2,0.0000490,12, 1544173920
radix,2,0.0000490,44, 1544173920
quick,3,0.0000820,12, 1544173920
radix,3,0.0000820,45, 1544173920
quick,4,0.0000470,10, 1544173920
radix,4,0.0000470,46, 1544173920
quick,5,0.0000490,13, 1544173920
radix,5,0.0000490,64, 1544173920
quick,6,0.0000660,15, 1544173920
radix,6,0.0000660,83, 1544173920
quick,7,0.0000630,11, 1544173920
radix,7,0.0000630,43, 1544173920
quick,8,0.0000780,11, 1544173920
radix,8,0.0000780,47, 1544173920
quick,9,0.0000510,11, 1544173920
radix,9,0.0000510,45, 1544173920
quick,10,0.0000500,11, 1544173920
radix,10,0.0000500,62, 1544173920
quick,11,0.0001790,14, 1544173920
radix,11,0.0001790,50, 1544173920
quick,12,0.0000530,11, 1544173920
radix,12,0.0000530,45, 1544173920
quick,13,0.0000500,10, 1544173920
radix,13,0.0000500,44, 1544173920
quick,14,0.0000480,10, 1544173920
radix,14,0.0000480,47, 1544173920
quick,15,0.0000520,9, 1544173920
radix,15,0.0000520,40, 1544173920
quick,16,0.0000440,9, 1544173920
radix,16,0.0000440,40, 1544173920
quick,17,0.0000440,9, 1544173920
radix,17,0.0000440,41, 1544173920
quick,18,0.0000440,9, 1544173920
radix,18,0.0000440,41, 1544173920
quick,19,0.0000450,9, 1544173920
radix,19,0.0000450,41, 1544173920
quick,20,0.0000450,9, 1544173920
radix,20,0.0000450,40, 1544173920
quick,21,0.0000570,10, 1544173920
radix,21,0.0000570,41, 1544173920
quick,22,0.0002130,14, 1544173920
radix,22,0.0002130,51, 1544173920
quick,23,0.0000930,11, 1544173920
radix,23,0.0000930,51, 1544173920
quick,24,0.0000590,16, 1544173920
radix,24,0.0000590,67, 1544173920
quick,25,0.0000640,12, 1544173920
radix,25,0.0000640,67, 1544173920
quick,26,0.0000830,18, 1544173920
radix,26,0.0000830,79, 1544173920
quick,27,0.0000820,18, 1544173920
radix,27,0.0000820,86, 1544173920
quick,28,0.0000630,14, 1544173920
radix,28,0.0000630,85, 1544173920
quick,29,0.0000670,14, 1544173920
radix,29,0.0000670,72, 1544173920
quick,30,0.0000680,19, 1544173920
radix,30,0.0000680,66, 1544173920
quick,31,0.0000770,17, 1544173920
radix,31,0.0000770,87, 1544173920
quick,32,0.0000790,22, 1544173920
radix,32,0.0000790,80, 1544173920
quick,33,0.0000750,16, 1544173920
radix,33,0.0000750,52, 1544173920
quick,34,0.0000740,13, 1544173920
radix,34,0.0000740,50, 1544173920
quick,35,0.0000810,17, 1544173920
radix,35,0.0000810,89, 1544173920
quick,36,0.0000780,20, 1544173920
radix,36,0.0000780,88, 1544173920
quick,37,0.0000850,20, 1544173920
radix,37,0.0000850,83, 1544173920
quick,38,0.0000770,33, 1544173920
radix,38,0.0000770,85, 1544173920
quick,39,0.0000790,17, 1544173920
radix,39,0.0000790,98, 1544173920
quick,40,0.0001100,18, 1544173920
radix,40,0.0001100,117, 1544173920
quick,41,0.0000950,16, 1544173920
radix,41,0.0000950,79, 1544173920
quick,42,0.0000740,26, 1544173920
radix,42,0.0000740,52, 1544173920
quick,43,0.0000610,14, 1544173920
radix,43,0.0000610,58, 1544173920
quick,44,0.0000600,19, 1544173920
radix,44,0.0000600,86, 1544173920
quick,45,0.0000910,18, 1544173920
radix,45,0.0000910,63, 1544173920
quick,46,0.0000690,16, 1544173920
radix,46,0.0000690,85, 1544173920
quick,47,0.0000870,19, 1544173920
radix,47,0.0000870,63, 1544173920
quick,48,0.0000660,18, 1544173920
radix,48,0.0000660,58, 1544173920
quick,49,0.0000650,16, 1544173920
radix,49,0.0000650,53, 1544173920
quick,50,0.0000760,14, 1544173920
radix,50,0.0000760,70, 1544173920
quick,51,0.0000760,16, 1544173920
radix,51,0.0000760,70, 1544173920
quick,52,0.0000770,17, 1544173920
radix,52,0.0000770,74, 1544173920
quick,53,0.0000760,17, 1544173920
radix,53,0.0000760,82, 1544173920
quick,54,0.0000750,17, 1544173920
radix,54,0.0000750,82, 1544173920
quick,55,0.0000760,17, 1544173920
radix,55,0.0000760,76, 1544173920
quick,56,0.0000640,12, 1544173920
radix,56,0.0000640,57, 1544173920
quick,57,0.0000540,11, 1544173920
radix,57,0.0000540,57, 1544173920
quick,58,0.0000640,15, 1544173920
radix,58,0.0000640,63, 1544173920
quick,59,0.0000700,15, 1544173920
radix,59,0.0000700,63, 1544173920
quick,60,0.0000680,23, 1544173920
radix,60,0.0000680,61, 1544173920
quick,61,0.0000580,11, 1544173920
radix,61,0.0000580,46, 1544173920
quick,62,0.0000490,10, 1544173920
radix,62,0.0000490,45, 1544173920
quick,63,0.0000540,18, 1544173920
radix,63,0.0000540,64, 1544173920
quick,64,0.0000520,11, 1544173920
radix,64,0.0000520,48, 1544173920
quick,65,0.0000580,12, 1544173920
radix,65,0.0000580,52, 1544173920
quick,66,0.0000640,15, 1544173920
radix,66,0.0000640,56, 1544173920
quick,67,0.0000640,16, 1544173920
radix,67,0.0000640,61, 1544173920
quick,68,0.0000620,11, 1544173920
radix,68,0.0000620,44, 1544173920
quick,69,0.0000510,10, 1544173920
radix,69,0.0000510,45, 1544173920
quick,70,0.0000500,15, 1544173920
radix,70,0.0000500,54, 1544173920
quick,71,0.0000510,10, 1544173920
radix,71,0.0000510,45, 1544173920
quick,72,0.0000500,19, 1544173920
radix,72,0.0000500,59, 1544173920
quick,73,0.0000680,15, 1544173920
radix,73,0.0000680,65, 1544173920
quick,74,0.0000680,15, 1544173920
radix,74,0.0000680,64, 1544173920
quick,75,0.0000680,16, 1544173920
radix,75,0.0000680,65, 1544173920
quick,76,0.0000690,15, 1544173920
radix,76,0.0000690,64, 1544173920
quick,77,0.0000640,16, 1544173920
radix,77,0.0000640,63, 1544173920
quick,78,0.0000680,15, 1544173920
radix,78,0.0000680,64, 1544173920
quick,79,0.0000700,16, 1544173920
radix,79,0.0000700,63, 1544173920
quick,80,0.0000600,11, 1544173920
radix,80,0.0000600,47, 1544173920
quick,81,0.0000590,15, 1544173920
radix,81,0.0000590,76, 1544173920
quick,82,0.0000630,12, 1544173920
radix,82,0.0000630,68, 1544173920
quick,83,0.0000720,15, 1544173920
radix,83,0.0000720,70, 1544173920
quick,84,0.0000680,12, 1544173920
radix,84,0.0000680,49, 1544173920
quick,85,0.0000660,16, 1544173920
radix,85,0.0000660,69, 1544173920
quick,86,0.0000790,15, 1544173920
radix,86,0.0000790,63, 1544173920
quick,87,0.0000700,16, 1544173920
radix,87,0.0000700,63, 1544173920
quick,88,0.0000750,17, 1544173920
radix,88,0.0000750,66, 1544173920
quick,89,0.0000930,16, 1544173920
radix,89,0.0000930,67, 1544173920
quick,90,0.0000690,16, 1544173920
radix,90,0.0000690,63, 1544173920
quick,91,0.0000740,18, 1544173920
radix,91,0.0000740,68, 1544173920
quick,92,0.0000970,14, 1544173920
radix,92,0.0000970,62, 1544173920
quick,93,0.0000630,10, 1544173920
radix,93,0.0000630,47, 1544173920
quick,94,0.0000530,10, 1544173920
radix,94,0.0000530,63, 1544173920
quick,95,0.0000620,11, 1544173920
radix,95,0.0000620,46, 1544173920
quick,96,0.0002230,11, 1544173920
radix,96,0.0002230,56, 1544173920
quick,97,0.0000590,11, 1544173920
radix,97,0.0000590,66, 1544173920
quick,98,0.0000670,16, 1544173920
radix,98,0.0000670,63, 1544173920
quick,99,0.0000590,12, 1544173920
radix,99,0.0000590,49, 1544173920
quick,100,0.0000530,11, 1544173920
radix,100,0.0000530,46, 1544173920
