s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0000600,13, 1544173920
radix,1,0.0000600,50, 1544173920
quick,2,0.0000510,10, 1544173920
radix,2,0.0000510,54, 1544173920
quick,3,0.0000700,11, 1544173920
radix,3,0.0000700,45, 1544173920
quick,4,0.0000520,11, 1544173920
radix,4,0.0000520,47, 1544173920
quick,5,0.0000690,11, 1544173920
radix,5,0.0000690,48, 1544173920
quick,6,0.0000530,11, 1544173920
radix,6,0.0000530,47, 1544173920
quick,7,0.0000530,11, 1544173920
radix,7,0.0000530,49, 1544173920
quick,8,0.0000580,16, 1544173920
radix,8,0.0000580,54, 1544173920
quick,9,0.0000550,11, 1544173920
radix,9,0.0000550,47, 1544173920
quick,10,0.0000510,11, 1544173920
radix,10,0.0000510,45, 1544173920
quick,11,0.0000500,11, 1544173920
radix,11,0.0000500,47, 1544173920
quick,12,0.0000490,10, 1544173920
radix,12,0.0000490,45, 1544173920
quick,13,0.0000490,11, 1544173920
radix,13,0.0000490,45, 1544173920
quick,14,0.0000500,10, 1544173920
radix,14,0.0000500,45, 1544173920
quick,15,0.0000590,11, 1544173920
radix,15,0.0000590,76, 1544173920
quick,16,0.0000540,15, 1544173920
radix,16,0.0000540,80, 1544173920
quick,17,0.0000580,13, 1544173920
radix,17,0.0000580,47, 1544173920
quick,18,0.0000540,11, 1544173920
radix,18,0.0000540,65, 1544173920
quick,19,0.0000550,11, 1544173920
radix,19,0.0000550,49, 1544173920
quick,20,0.0000620,11, 1544173920
radix,20,0.0000620,45, 1544173920
quick,21,0.0000530,11, 1544173920
radix,21,0.0000530,49, 1544173920
quick,22,0.0000520,11, 1544173920
radix,22,0.0000520,47, 1544173920
quick,23,0.0000510,10, 1544173920
radix,23,0.0000510,46, 1544173920
quick,24,0.0000690,11, 1544173920
radix,24,0.0000690,49, 1544173920
quick,25,0.0000510,10, 1544173920
radix,25,0.0000510,46, 1544173920
quick,26,0.0000540,11, 1544173920
radix,26,0.0000540,47, 1544173920
quick,27,0.0000540,11, 1544173920
radix,27,0.0000540,45, 1544173920
quick,28,0.0000770,10, 1544173920
radix,28,0.0000770,48, 1544173920
quick,29,0.0000500,14, 1544173920
radix,29,0.0000500,48, 1544173920
quick,30,0.0000880,15, 1544173920
radix,30,0.0000880,47, 1544173920
quick,31,0.0000560,10, 1544173920
radix,31,0.0000560,55, 1544173920
quick,32,0.0000510,13, 1544173920
radix,32,0.0000510,45, 1544173920
quick,33,0.0000500,14, 1544173920
radix,33,0.0000500,49, 1544173920
quick,34,0.0000540,12, 1544173920
radix,34,0.0000540,45, 1544173920
quick,35,0.0000500,10, 1544173920
radix,35,0.0000500,46, 1544173920
quick,36,0.0000510,10, 1544173920
radix,36,0.0000510,46, 1544173920
quick,37,0.0000470,10, 1544173920
radix,37,0.0000470,46, 1544173920
quick,38,0.0000510,11, 1544173920
radix,38,0.0000510,45, 1544173920
quick,39,0.0000500,11, 1544173920
radix,39,0.0000500,46, 1544173920
quick,40,0.0000510,13, 1544173920
radix,40,0.0000510,48, 1544173920
quick,41,0.0000530,12, 1544173920
radix,41,0.0000530,45, 1544173920
quick,42,0.0000500,10, 1544173920
radix,42,0.0000500,44, 1544173920
quick,43,0.0000510,46, 1544173920
radix,43,0.0000510,51, 1544173920
quick,44,0.0000550,16, 1544173920
radix,44,0.0000550,48, 1544173920
quick,45,0.0000530,11, 1544173920
radix,45,0.0000530,48, 1544173920
quick,46,0.0000540,11, 1544173920
radix,46,0.0000540,47, 1544173920
quick,47,0.0002430,12, 1544173920
radix,47,0.0002430,49, 1544173920
quick,48,0.0000530,25, 1544173920
radix,48,0.0000530,47, 1544173920
quick,49,0.0000520,10, 1544173920
radix,49,0.0000520,46, 1544173920
quick,50,0.0000520,10, 1544173920
radix,50,0.0000520,72, 1544173920
quick,51,0.0000440,9, 1544173920
radix,51,0.0000440,40, 1544173920
quick,52,0.0000440,9, 1544173920
radix,52,0.0000440,40, 1544173920
quick,53,0.0000440,9, 1544173920
radix,53,0.0000440,42, 1544173920
quick,54,0.0000440,9, 1544173920
radix,54,0.0000440,42, 1544173920
quick,55,0.0000440,9, 1544173920
radix,55,0.0000440,41, 1544173920
quick,56,0.0000430,9, 1544173920
radix,56,0.0000430,40, 1544173920
quick,57,0.0000440,9, 1544173920
radix,57,0.0000440,40, 1544173920
quick,58,0.0000440,9, 1544173920
radix,58,0.0000440,40, 1544173920
quick,59,0.0000700,8, 1544173920
radix,59,0.0000700,37, 1544173920
quick,60,0.0000400,9, 1544173920
radix,60,0.0000400,38, 1544173920
quick,61,0.0000480,11, 1544173920
radix,61,0.0000480,162, 1544173920
quick,62,0.0000450,38, 1544173920
radix,62,0.0000450,58, 1544173920
quick,63,0.0000560,14, 1544173920
radix,63,0.0000560,97, 1544173920
quick,64,0.0000690,14, 1544173920
radix,64,0.0000690,219, 1544173920
quick,65,0.0000740,17, 1544173920
radix,65,0.0000740,68, 1544173920
quick,66,0.0000700,11, 1544173920
radix,66,0.0000700,46, 1544173920
quick,67,0.0000500,10, 1544173920
radix,67,0.0000500,44, 1544173920
quick,68,0.0000490,10, 1544173920
radix,68,0.0000490,45, 1544173920
quick,69,0.0000500,10, 1544173920
radix,69,0.0000500,47, 1544173920
quick,70,0.0000500,11, 1544173920
radix,70,0.0000500,54, 1544173920
quick,71,0.0000770,15, 1544173920
radix,71,0.0000770,90, 1544173920
quick,72,0.0000850,19, 1544173920
radix,72,0.0000850,78, 1544173920
quick,73,0.0000760,18, 1544173920
radix,73,0.0000760,83, 1544173920
quick,74,0.0000780,15, 1544173920
radix,74,0.0000780,51, 1544173920
quick,75,0.0000560,12, 1544173920
radix,75,0.0000560,48, 1544173920
quick,76,0.0000540,11, 1544173920
radix,76,0.0000540,49, 1544173920
quick,77,0.0000550,12, 1544173920
radix,77,0.0000550,50, 1544173920
quick,78,0.0000840,19, 1544173920
radix,78,0.0000840,55, 1544173920
quick,79,0.0000590,14, 1544173920
radix,79,0.0000590,50, 1544173920
quick,80,0.0000680,16, 1544173920
radix,80,0.0000680,53, 1544173920
quick,81,0.0000740,15, 1544173920
radix,81,0.0000740,53, 1544173920
quick,82,0.0000620,19, 1544173920
radix,82,0.0000620,81, 1544173920
quick,83,0.0000750,18, 1544173920
radix,83,0.0000750,82, 1544173920
quick,84,0.0000870,15, 1544173920
radix,84,0.0000870,53, 1544173920
quick,85,0.0000830,18, 1544173920
radix,85,0.0000830,67, 1544173920
quick,86,0.0000800,14, 1544173920
radix,86,0.0000800,62, 1544173920
quick,87,0.0000730,17, 1544173920
radix,87,0.0000730,53, 1544173920
quick,88,0.0000640,13, 1544173920
radix,88,0.0000640,47, 1544173920
quick,89,0.0001170,15, 1544173920
radix,89,0.0001170,73, 1544173920
quick,90,0.0000630,16, 1544173920
radix,90,0.0000630,82, 1544173920
quick,91,0.0000570,12, 1544173920
radix,91,0.0000570,48, 1544173920
quick,92,0.0000660,19, 1544173920
radix,92,0.0000660,73, 1544173920
quick,93,0.0000560,12, 1544173920
radix,93,0.0000560,52, 1544173920
quick,94,0.0000780,13, 1544173920
radix,94,0.0000780,49, 1544173920
quick,95,0.0000560,12, 1544173920
radix,95,0.0000560,53, 1544173920
quick,96,0.0000530,11, 1544173920
radix,96,0.0000530,49, 1544173920
quick,97,0.0000580,13, 1544173920
radix,97,0.0000580,49, 1544173920
quick,98,0.0000540,13, 1544173920
radix,98,0.0000540,59, 1544173920
quick,99,0.0000520,11, 1544173920
radix,99,0.0000520,47, 1544173920
quick,100,0.0000510,10, 1544173920
radix,100,0.0000510,45, 1544173920
